original_uid,original_final_status,original_sequence_length,original_sequence_sha256,original_afdb_http_status_from_source_package,uniprot_lookup_status,uniprot_http_status,uniprot_primary_accession,uniprot_secondary_accessions_json,uniprot_entry_type,uniprot_id,organism,canonical_sequence_length,canonical_sequence_sha256,primary_differs_from_original,candidate_accessions_probed_json,afdb_v6_probe_results_json,afdb_v6_available_accessions_json,reviewed_accession_candidate,reviewed_accession_action,candidate_reason,replacement_performed,asset_generation_started,formal_assets_mutated,production_pool_mutated,production_d4_mutated,retryable,review_notes
A0A1E5S1A9,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,503,0878b43a12d976096af2272ea936776d3ad4fe36ac3abdfdcc23c659204fe74a,404,DIRECT_LOOKUP_SUCCESS,200,A0A1E5S1A9,[],UniProtKB reviewed (Swiss-Prot),G6PD_HANUV,Hanseniaspora uvarum,503,0878b43a12d976096af2272ea936776d3ad4fe36ac3abdfdcc23c659204fe74a,False,"[""A0A1E5S1A9""]","{""A0A1E5S1A9"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A217ER65,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,259,30a8ac16923e88004fccb7325390ff0f3173bece02dd2569e8bb7c666c6a9ec0,404,DIRECT_LOOKUP_SUCCESS,200,A0A217ER65,[],UniProtKB reviewed (Swiss-Prot),ACPY1_BPGO3,Bacillus phage vB_BsuM-Goe3,259,30a8ac16923e88004fccb7325390ff0f3173bece02dd2569e8bb7c666c6a9ec0,False,"[""A0A217ER65""]","{""A0A217ER65"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A2H5BHG9,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,203,45d2f4f271dfaf1266b4f24ce694a5e129425e201fd93106d6450c69f5622e00,404,DIRECT_LOOKUP_SUCCESS,200,A0A2H5BHG9,[],UniProtKB reviewed (Swiss-Prot),DATPH_BPSHA,Acinetobacter phage SH-Ab 15497,203,45d2f4f271dfaf1266b4f24ce694a5e129425e201fd93106d6450c69f5622e00,False,"[""A0A2H5BHG9""]","{""A0A2H5BHG9"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A2H5BHJ6,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,387,9389b504812ac43447a746d31be9fa0214082f30881e8735fd95b611a608116a,404,DIRECT_LOOKUP_SUCCESS,200,A0A2H5BHJ6,[],UniProtKB reviewed (Swiss-Prot),PURZ_BPSHA,Acinetobacter phage SH-Ab 15497,387,9389b504812ac43447a746d31be9fa0214082f30881e8735fd95b611a608116a,False,"[""A0A2H5BHJ6""]","{""A0A2H5BHJ6"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A2L0V130,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,367,934fe2fccb067d881bf688e483d049e4df0333fb6cc10f5c552cc14455d7faed,404,DIRECT_LOOKUP_SUCCESS,200,A0A2L0V130,[],UniProtKB reviewed (Swiss-Prot),PURZ_BPPMB,Salmonella phage PMBT28,367,934fe2fccb067d881bf688e483d049e4df0333fb6cc10f5c552cc14455d7faed,False,"[""A0A2L0V130""]","{""A0A2L0V130"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A2L0V161,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,290,286dd2e3d4172e1c3db4f0da25d201c1134847a1bd540812b6fca2d3eef4d367,404,DIRECT_LOOKUP_SUCCESS,200,A0A2L0V161,[],UniProtKB reviewed (Swiss-Prot),DGTPH_BPPMB,Salmonella phage PMBT28,290,286dd2e3d4172e1c3db4f0da25d201c1134847a1bd540812b6fca2d3eef4d367,False,"[""A0A2L0V161""]","{""A0A2L0V161"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A345MJY6,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,256,82b24918f5603079aa9c85c33b7bc088a61388fc044f462b11f9053746a14e0e,404,DIRECT_LOOKUP_SUCCESS,200,A0A345MJY6,[],UniProtKB reviewed (Swiss-Prot),APYC1_BPBSP,Bacillus phage BSP38,256,82b24918f5603079aa9c85c33b7bc088a61388fc044f462b11f9053746a14e0e,False,"[""A0A345MJY6""]","{""A0A345MJY6"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A516KNH9,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,259,29138586bbf4acfb0d762d08c100205d67fb588367c60d1f01c50cb30e4663d4,404,DIRECT_LOOKUP_SUCCESS,200,A0A516KNH9,[],UniProtKB reviewed (Swiss-Prot),ACPY1_BPGO7,Bacillus phage vB_BveM-Goe7,259,29138586bbf4acfb0d762d08c100205d67fb588367c60d1f01c50cb30e4663d4,False,"[""A0A516KNH9""]","{""A0A516KNH9"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN19,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,151,66c021752035b8a65f76c8781f8d29e0c9f63e515943f28e31c1175f83756058,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN19,[],UniProtKB reviewed (Swiss-Prot),DUT_MONPV,Monkeypox virus,151,66c021752035b8a65f76c8781f8d29e0c9f63e515943f28e31c1175f83756058,False,"[""A0A7H0DN19""]","{""A0A7H0DN19"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN21,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,319,b23f1c217f38941611de7bbc2aff78eb18ccf1c7b8b00a8f5346816374796fbf,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN21,[],UniProtKB reviewed (Swiss-Prot),RIR2_MONPV,Monkeypox virus,319,b23f1c217f38941611de7bbc2aff78eb18ccf1c7b8b00a8f5346816374796fbf,False,"[""A0A7H0DN21""]","{""A0A7H0DN21"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN27,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,439,a1022e17f9b9cfbd25e079c7734dfe81927ecf5d521b492908e1e7e32ae62b28,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN27,[],UniProtKB reviewed (Swiss-Prot),VPK2_MONPV,Monkeypox virus,439,a1022e17f9b9cfbd25e079c7734dfe81927ecf5d521b492908e1e7e32ae62b28,False,"[""A0A7H0DN27""]","{""A0A7H0DN27"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN30,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,372,56020801435603521e8feaa30c4abb0f35fa672a650bdda73e3894d45988d148,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN30,[],UniProtKB reviewed (Swiss-Prot),PG057_MONPV,Monkeypox virus,372,56020801435603521e8feaa30c4abb0f35fa672a650bdda73e3894d45988d148,False,"[""A0A7H0DN30""]","{""A0A7H0DN30"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN45,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,95,7b5022a768620f8a5e5697c7d7c0d888a01ce2364288e53dedfb0c694d34ff39,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN45,[],UniProtKB reviewed (Swiss-Prot),PG072_MONPV,Monkeypox virus,95,7b5022a768620f8a5e5697c7d7c0d888a01ce2364288e53dedfb0c694d34ff39,False,"[""A0A7H0DN45""]","{""A0A7H0DN45"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN52,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,771,0a0bbf797980d5f6aedf59520991b815447bb9b80f47eec01c0cf8007c794851,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN52,[],UniProtKB reviewed (Swiss-Prot),RIR1_MONPV,Monkeypox virus,771,0a0bbf797980d5f6aedf59520991b815447bb9b80f47eec01c0cf8007c794851,False,"[""A0A7H0DN52""]","{""A0A7H0DN52"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN56,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,676,f4438b1559caaff131fda44095d54ba84a12c9ae213f9919a4e40c0ac94b5d38,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN56,[],UniProtKB reviewed (Swiss-Prot),NPH2_MONPV,Monkeypox virus,676,f4438b1559caaff131fda44095d54ba84a12c9ae213f9919a4e40c0ac94b5d38,False,"[""A0A7H0DN56""]","{""A0A7H0DN56"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN73,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,177,f8298003739f89c631f79fb26e390d066e03c1d7d1e0cebb1fcf4fa199abf766,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN73,[],UniProtKB reviewed (Swiss-Prot),KITH_MONPV,Monkeypox virus,177,f8298003739f89c631f79fb26e390d066e03c1d7d1e0cebb1fcf4fa199abf766,False,"[""A0A7H0DN73""]","{""A0A7H0DN73"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN74,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,333,ec6c1399da607eb21128e304a6798463d18c1131952e357b67077fd1ee8b7e7d,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN74,[],UniProtKB reviewed (Swiss-Prot),MCE_MONPV,Monkeypox virus,333,ec6c1399da607eb21128e304a6798463d18c1131952e357b67077fd1ee8b7e7d,False,"[""A0A7H0DN74""]","{""A0A7H0DN74"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN78,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,171,7e1cbef582a3e8eb649a04c57c54c1ce993170d81ffc00fbb3673545909be6e1,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN78,[],UniProtKB reviewed (Swiss-Prot),DUSP_MONPV,Monkeypox virus,171,7e1cbef582a3e8eb649a04c57c54c1ce993170d81ffc00fbb3673545909be6e1,False,"[""A0A7H0DN78""]","{""A0A7H0DN78"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN85,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,845,c78bb3ec0abdf64db63270eb337f07c6ab3641df9ab675333bd1458d42967d29,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN85,[],UniProtKB reviewed (Swiss-Prot),MCEL_MONPV,Monkeypox virus,845,c78bb3ec0abdf64db63270eb337f07c6ab3641df9ab675333bd1458d42967d29,False,"[""A0A7H0DN85""]","{""A0A7H0DN85"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN93,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,213,fd44880ee8febd048939e87ceceefe77a52610ae6f3c020f2dfc31524b1f138e,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN93,[],UniProtKB reviewed (Swiss-Prot),PG121_MONPV,Monkeypox virus,213,fd44880ee8febd048939e87ceceefe77a52610ae6f3c020f2dfc31524b1f138e,False,"[""A0A7H0DN93""]","{""A0A7H0DN93"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DN95,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,631,8073631417f0fceab86ede701e82991a75aee0b1d73b143a25339aeffeb0a603,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DN95,[],UniProtKB reviewed (Swiss-Prot),NTP1_MONPV,Monkeypox virus,631,8073631417f0fceab86ede701e82991a75aee0b1d73b143a25339aeffeb0a603,False,"[""A0A7H0DN95""]","{""A0A7H0DN95"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DNE2,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,346,fa2da73e65c8f075d4c083ac6080f8942bf1d09268ae1f05607de89b68b9a4a0,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DNE2,[],UniProtKB reviewed (Swiss-Prot),3BHS_MONPV,Monkeypox virus,346,fa2da73e65c8f075d4c083ac6080f8942bf1d09268ae1f05607de89b68b9a4a0,False,"[""A0A7H0DNE2""]","{""A0A7H0DNE2"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DNE5,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,204,9d24745fb87798c5ae30bd172f476e6cfcc260ef367f7a9eaf2314ba6e5d004c,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DNE5,[],UniProtKB reviewed (Swiss-Prot),KTHY_MONPV,Monkeypox virus,204,9d24745fb87798c5ae30bd172f476e6cfcc260ef367f7a9eaf2314ba6e5d004c,False,"[""A0A7H0DNE5""]","{""A0A7H0DNE5"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DNE9,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,303,82c49f3fc513b3fc68ab081213f62aab95623b3ccdf9f8d50e57d61ab3b7d3ef,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DNE9,[],UniProtKB reviewed (Swiss-Prot),PG187_MONPV,Monkeypox virus,303,82c49f3fc513b3fc68ab081213f62aab95623b3ccdf9f8d50e57d61ab3b7d3ef,False,"[""A0A7H0DNE9""]","{""A0A7H0DNE9"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7H0DNF0,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,503,baf1de926137511d35bf2ac38a9ae0749eee1b928077ce8ec712b1c668f251fa,404,DIRECT_LOOKUP_SUCCESS,200,A0A7H0DNF0,[],UniProtKB reviewed (Swiss-Prot),POXIN_MONPV,Monkeypox virus,503,baf1de926137511d35bf2ac38a9ae0749eee1b928077ce8ec712b1c668f251fa,False,"[""A0A7H0DNF0""]","{""A0A7H0DNF0"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7U3TBV3,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,105,73072a936fedfa54f3a0b79b8bd06797bd8f31caf23713146588c188eedb66e6,404,DIRECT_LOOKUP_SUCCESS,200,A0A7U3TBV3,[],UniProtKB reviewed (Swiss-Prot),DGTPH_BPS2L,Cyanophage S-2L,105,73072a936fedfa54f3a0b79b8bd06797bd8f31caf23713146588c188eedb66e6,False,"[""A0A7U3TBV3""]","{""A0A7U3TBV3"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7U3TBV6,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,359,a02070dcbbfca042196dc58393a305f8f448d32011c9270fde480db7f52c3b91,404,DIRECT_LOOKUP_SUCCESS,200,A0A7U3TBV6,[],UniProtKB reviewed (Swiss-Prot),PURZ_BPS2L,Cyanophage S-2L,359,a02070dcbbfca042196dc58393a305f8f448d32011c9270fde480db7f52c3b91,False,"[""A0A7U3TBV6""]","{""A0A7U3TBV6"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A7U3TCA2,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,175,3830a6e73009bc8bbd86cd86f8a3c92da9eb32310bd6d12bc759900bfc5e5692,404,DIRECT_LOOKUP_SUCCESS,200,A0A7U3TCA2,[],UniProtKB reviewed (Swiss-Prot),DATPH_BPS2L,Cyanophage S-2L,175,3830a6e73009bc8bbd86cd86f8a3c92da9eb32310bd6d12bc759900bfc5e5692,False,"[""A0A7U3TCA2""]","{""A0A7U3TCA2"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A868BQY3,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,152,62185f8f8244c05374e0a3ea7472199968912e1cdb51acc63353161758dcdfcf,404,DIRECT_LOOKUP_SUCCESS,200,A0A868BQY3,[],UniProtKB reviewed (Swiss-Prot),ACB1_BPFBB,Erwinia phage FBB1,152,62185f8f8244c05374e0a3ea7472199968912e1cdb51acc63353161758dcdfcf,False,"[""A0A868BQY3""]","{""A0A868BQY3"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
A0A8G1LR08,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,257,f44466b973184b220a5fa650dc7feab65db82097fea1ccd0d65fe3a8a652f129,404,DIRECT_LOOKUP_SUCCESS,200,A0A8G1LR08,[],UniProtKB reviewed (Swiss-Prot),ACPY1_BP010,Bacillus phage 010DV004,257,f44466b973184b220a5fa650dc7feab65db82097fea1ccd0d65fe3a8a652f129,False,"[""A0A8G1LR08""]","{""A0A8G1LR08"": 404}",[],,NO_AVAILABLE_AFDB_V6_ACCESSION_CANDIDATE_FOUND,,False,False,False,False,False,False,same_uniprot_entry_primary_secondary_relationship; No AFDB v6 structure found for any candidate accession
