UniprotID,sequence_source,sequence_length,sequence_sha256,f3_missing_valid_pocket_member,final_missing_pocket_member,phase1_100uid_member,phase1_result_if_any,sampling_stratum_if_available,manifest_derivation
A0A0E0S0W9,packaged_uid2seq_pkl,371,3c1b8627d60e2c670d7c8b73d206118c1384497a5e740199fe1b42de37448af6,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0E1RWL5,packaged_uid2seq_pkl,549,91f6d9aff9c926f3a776c3296616bb60f8781278508f5946eed9f0bf438ddb4d,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0F4YI33,packaged_uid2seq_pkl,314,e7ae513fa139734aadc523f888837ef022d57c03e6692cdbbb06d05b53b5e0c5,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0F7TWW9,packaged_uid2seq_pkl,596,c113b75f8644468658289da5480b81ecf252c20df4f27a6efbd96538aea1668e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0F9X418,packaged_uid2seq_pkl,151,4a4ebc4a138524e5bda6b2eb2bcce6e420fdf7004779f82ee129546f9716b9e1,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0G2JDV3,packaged_uid2seq_pkl,611,9267b1d9d85b88d0d2b16700e1d98d572c893b027970232d5ba710d6f7461687,true,true,true,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,OLD_POOL_WITH_POCKET_INTERSECT_FINAL_MISSING,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0G2JZ79,packaged_uid2seq_pkl,741,4a18d0684de504475c48ac0c897435816f0c03c48d7bd126d9aa6f146e60a009,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0H2V660,packaged_uid2seq_pkl,409,9fbaa037baf84106c06659d46ef637231c195e8d545570da8402310db5fa1290,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0H2V760,packaged_uid2seq_pkl,400,9ca41683f7f7ec327698797affbc08ce9993caf46422ce5a68db90b2c048e2fa,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0H3DK98,packaged_uid2seq_pkl,529,c13fad7de8d7fe07e54fcb2fffa378cd914616b4f5e94c649e6363530f9d9d9a,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0H3DN66,packaged_uid2seq_pkl,307,54283264af5a66127ca74ba1bde67e32ecf1bbba04f714627459fc8eecdd0e55,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0H3GEM5,packaged_uid2seq_pkl,123,0efd39f4da530710c565b9590250da7f3f86cf8e0374e2ecd7e06f7ce6ac5c46,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0H3LSV1,packaged_uid2seq_pkl,251,4e6edabf472fdb3565a1a72710daaf1dc87c151cbbcfd970d5216c239772b1e7,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0H3LVU7,packaged_uid2seq_pkl,540,05b395ddff5acc06e5feb18d4ad4638b6c8255636bbb6ff58dda4d99a7b9d2ac,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0J9UVX2,packaged_uid2seq_pkl,453,a4bf3ad1335de05d189e93cccf5bfee05538f4169f08de98ef5b40e924af6be9,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0J9X285,packaged_uid2seq_pkl,255,ecb1326977ec26be709db9019390c4acabede748895d6cd90b264c760cc91af6,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0M2H929,packaged_uid2seq_pkl,131,2075412dffad3d8f0f9ccc9585d617b7e84a0fc61ecacfca90717b26e4f846cb,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0M8N4S6,packaged_uid2seq_pkl,143,12b1dc479e730e41423825b18090e85e44ff5ca94ad573214f15318ee09988b8,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0M8N8I0,packaged_uid2seq_pkl,239,f1fe6815a84e9fbc3ee17473b3a36890ba498fa48d2533bb2a6866460d1eb97b,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0M8N9Q3,packaged_uid2seq_pkl,122,65dd4f85c44f9dc175db0034efd8523c38d0cff816c7c7f362bce9404b94ae67,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0M9VUI4,packaged_uid2seq_pkl,273,93beea155bf2ecf341d36ab03566b67bb634b601629d4fa8ef937f7ce1cc124c,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0M9VUJ4,packaged_uid2seq_pkl,192,f184d638e0beb4534ade36c0c5f25f9211f03b0849f2cfc620b2742880c00157,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0P0FGV9,packaged_uid2seq_pkl,287,931cb98e5cb2a15ee45054a39cfcefb6867b9c009a2a0a658ab4b33a89d4e87f,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0Q9K4R6,packaged_uid2seq_pkl,419,428e361dde51c51b37e5cce733efe87e251d6af69f5b12fe5158c34102f83027,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0Q9K529,packaged_uid2seq_pkl,456,878d48bc33b81f0a7ef5cdd2e8da16cd3f69f95d9dd36649b273037a6936ed29,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0Q9KFZ4,packaged_uid2seq_pkl,546,c1abb9b79a705b67a8030a549aa9587fd333e50a6aabf77da0ada21c372d7c69,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0S0MVI5,packaged_uid2seq_pkl,292,160e34d83f6a9b31fd9b9a2c0b48f512d18cdaff52bd6012b8461c5012294611,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0S0MX59,packaged_uid2seq_pkl,140,6fc57825d80df65c3134108a116bffc372774031c72b78ae09a35139406de5e8,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0S0N8M3,packaged_uid2seq_pkl,286,23b12da39e4a95e02dd3d07a048921c97ad7b4f517186c3f90ec97a1c6603420,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0S0N9S9,packaged_uid2seq_pkl,189,4166c0cb4575e8c3120f2b8b0f76bff825200ff065aa99f4cc9145cd993510be,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0U3AB61,packaged_uid2seq_pkl,407,973aa0d220221e72d65582aa5a4553875ac176a4c5c02b0b6f18a17eed4370f3,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0U3S9Q3,packaged_uid2seq_pkl,363,9941adf9dcda8a9a678cb7bae23ca23f59278208d6b5e98e8fa474f1a99f1441,true,true,true,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,OLD_POOL_WITH_POCKET_INTERSECT_FINAL_MISSING,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0U4AHM6,packaged_uid2seq_pkl,360,7aad12ce1f502060a2c409f7c29cb9e2c0eeaa19ba50f8e4c2966e112d90861b,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0U4BHM2,packaged_uid2seq_pkl,363,351c34d2095e544533593a3430ee8d4f870ed8068eab99c7a6c309e20ddfb657,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0U5G0B1,packaged_uid2seq_pkl,725,626f822f93849a0bfd40eeae24c6dfb322846308641fe53fafcecf1c8e466620,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A0X1KHF9,packaged_uid2seq_pkl,867,f4c6361afbbc34aed77a59b6b4fc34313171a6ad3ab79bdaf24391d4b0685da6,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A125SXN3,packaged_uid2seq_pkl,755,fee563e3e8c0ec03641bb720ae81976ebf156b4884bd772873385701275adcb1,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A125YY17,packaged_uid2seq_pkl,219,30f14a1796efaa71210f10d17bd807e41404178189a46bd2fe29988ba90f20ef,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A125YYB5,packaged_uid2seq_pkl,509,e9043fa1382a188e8a52344ebaa59b454ceab03ff01d09f4941bd57b008e9b79,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A140LIF8,packaged_uid2seq_pkl,395,c32688c1dfef2a362a2fbcb92e77c6f8bb404bf109279767f057b0f16b6dfad5,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A166ACJ5,packaged_uid2seq_pkl,260,65e85ca38633159b990366322b725e7b1ea032bffadbc04cde2fb4f55492a876,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A179UL48,packaged_uid2seq_pkl,362,f30799121529a0913069a9614b7c0737990588a5013bf3d73955823ac077cf36,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A194VNL2,packaged_uid2seq_pkl,532,07f9e80c287de298072e8d020c3175e845b6a591986707ea34c7f9b29455b466,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A194W185,packaged_uid2seq_pkl,311,7fd2ceb935190446b9f556e2f5732f351cb7123a866eff55fc38a6c916322101,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A194WDG1,packaged_uid2seq_pkl,419,0dc325c1b5f19a254436dc2abe522fa878138073b23e675d92f88b9d0c49c359,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1B5KW97,packaged_uid2seq_pkl,365,5bfc7a57b67b79a06758dcd5fa6ed0de25363b662f00162dba3535fd3b820220,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1C3NEV1,packaged_uid2seq_pkl,538,ac11cd8f4c43b75871bc89c0dbaa1f186110d0c878b6152a899c2abf8270e1ac,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1D8PJ01,packaged_uid2seq_pkl,895,69e2833459ce219b2e38d37c8daf1cb6b854cc07f23ad038566496c0c0a46347,true,false,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1D9Q0B7,packaged_uid2seq_pkl,167,3685a54e037b1bee8a8349f1621a738f33d98753c3e3a075719fecb77f6a5abb,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1D9QMS2,packaged_uid2seq_pkl,765,4ebbd6135a9fe7f9a62a0d126132ef8774bfd0fc8f25ac319ea6969cb5f56c86,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1E3M8P2,packaged_uid2seq_pkl,286,69db519277a1b220b6f5ad165e8b2558cee0754be3f6745d9bf8c017a90dd9e3,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1E5RIW9,packaged_uid2seq_pkl,348,9fe411087890c8280cc47bef18fac0c3a3bc545940f5e3c31a8ee6af80e73ffc,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1E5S1A9,packaged_uid2seq_pkl,503,0878b43a12d976096af2272ea936776d3ad4fe36ac3abdfdcc23c659204fe74a,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1F5L592,packaged_uid2seq_pkl,152,6113f170ec8cde0f1bd8812a325e55496eef78a4765ff8de0b1d4749bc57dc3c,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1H1YBL2,packaged_uid2seq_pkl,393,d62ef1248b2c7e60f020a849ac08272c51994b6267c0d401825afaddef80c605,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1L7NVA6,packaged_uid2seq_pkl,637,7bf1fb96f34f2e29b4b725d45d6126a7610cbf994f66e5d899ae8321956580f9,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1L9X985,packaged_uid2seq_pkl,375,a13a70352f4d69e9dc800ea504666765377d16acdcc0d15951bfcfcee442fec8,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1Q5Q699,packaged_uid2seq_pkl,156,183958ea4541d41a59f029ac581300be2472894738f3832b915d5297488dc0ac,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1S1YUU1,packaged_uid2seq_pkl,290,ec0ab2b0916352c879d91708f4429c4a13139f2a6ba294fc5c22120b7a102446,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1U8CC89,packaged_uid2seq_pkl,490,74d2efecfc83f2bb8993fbb6588762de34e021d2873757e57214d9f555d16274,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1V0QSF4,packaged_uid2seq_pkl,615,244724efe31f6a630405e9f20051c92925432f353c9cf413fb0d9ef32f852dc2,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1V0QSF8,packaged_uid2seq_pkl,632,f502b65cc3940a33601d1bb7152a354848a647c1360a7b2314e1e739a9e890f9,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1V0QSG0,packaged_uid2seq_pkl,573,537836479a4e5b028fc946f1dad0ff7dc51bfce08d429630048f198682cfd0a6,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1V0QSG6,packaged_uid2seq_pkl,567,c55beed0b35caa1902930f8cc52b5634ec740742a47e64ae312771d579d10d2e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A1V0QSH7,packaged_uid2seq_pkl,341,b23a8aa8790a0271bf1ec6b78857aa12d5733a661e5517422ac469b15e15a7f4,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A217ER65,packaged_uid2seq_pkl,259,30a8ac16923e88004fccb7325390ff0f3173bece02dd2569e8bb7c666c6a9ec0,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A218NGS0,packaged_uid2seq_pkl,480,df32080a6e9de3721d39ca92db4a6f289633e69df676d9b2fd35529c70abf20c,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A224AU14,packaged_uid2seq_pkl,394,2b298c4048ca4888fca439d8d542eedbe994a2c3d2b4022268a8411464c47d68,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2G0QDN4,packaged_uid2seq_pkl,286,5ac667f5b9af33314dc3039989b8675644797300210825d6858552c1a9de52cb,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2G0QDP0,packaged_uid2seq_pkl,266,db237f760869551b09464ba4867169aafc47d9b85d114228f62281edb6b9c76d,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2H1K3G9,packaged_uid2seq_pkl,406,435ffd3b8e0f97253809f6299a192824acbc91b3f9ba8e80c96d087a48e0a9a8,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2H5BHG9,packaged_uid2seq_pkl,203,45d2f4f271dfaf1266b4f24ce694a5e129425e201fd93106d6450c69f5622e00,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2H5BHJ6,packaged_uid2seq_pkl,387,9389b504812ac43447a746d31be9fa0214082f30881e8735fd95b611a608116a,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2I1CSG1,packaged_uid2seq_pkl,547,b5bbe539f17df08953f895a8cd638f2e46b64802ec99e445d228e647aeaaaf30,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2I1CSG7,packaged_uid2seq_pkl,339,cff1e2c4edf69aa30e09890e64c4324b906601a7b10ad7912eeca5855d000b3c,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2I1CSH5,packaged_uid2seq_pkl,283,84832490f3f8a33a5311589708dc9d510ceb95d6c154693a8e0a58eee9ad5026,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2I1CSH6,packaged_uid2seq_pkl,441,531c3aec3b8166ec9c4ab2b07d8d71bb285399ce34c595b22f2c6aa07303e72e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2I1CSH9,packaged_uid2seq_pkl,496,3de559f40498c4c4c1c40f0f2873cc074ab66dab66e7bbb9485f330e49a2797c,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2K3D179,packaged_uid2seq_pkl,582,55ba6159172aeedd5bd73bde26eed69623ae79d8fd7d51d640c8afd8b0bb307e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2L0V130,packaged_uid2seq_pkl,367,934fe2fccb067d881bf688e483d049e4df0333fb6cc10f5c552cc14455d7faed,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2L0V161,packaged_uid2seq_pkl,290,286dd2e3d4172e1c3db4f0da25d201c1134847a1bd540812b6fca2d3eef4d367,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2P5I554,packaged_uid2seq_pkl,315,4bbd70c25d7efa5389113ab58d6c328e371d635d3f422632492490959a35e63b,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2T1AE85,packaged_uid2seq_pkl,333,c0d9f366f41666bbc0ced1375f251e0666f921019f749a5a93a254b4c941f9e7,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5P0W7,packaged_uid2seq_pkl,354,7b3dcfe0326c63ff36bd6180ce5bca2e1fa83bbba7fb62f5fb47234027735db9,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5P2H9,packaged_uid2seq_pkl,516,fe37ec398285f61d53f3c10cab3d4bed77a7f02922e8f375da64e2402cf19ff5,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5U367,packaged_uid2seq_pkl,429,179527ead036ca4d89d89b92a62a63090047db34f9531fc461875234b010eaf3,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5U368,packaged_uid2seq_pkl,450,124cba0703561d79a948a58076c33eaa4eaf16e3222aea1ac2d1e8c3a2ee56d7,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5U3C2,packaged_uid2seq_pkl,538,51515c6f13bf37b9fd398e3cf17245b473a49af324d9d0e103810854dd241ce5,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5U507,packaged_uid2seq_pkl,300,d3f6009a2039d1f44694d93a97eabb6e8a8f1adccc44678bab4dee0033d44a8e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5U6I9,packaged_uid2seq_pkl,529,99280cdea8196dec317d2f18830c1825fab94ad5dea0f68ec9b853bab5214ffd,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A2Z5UFJ1,packaged_uid2seq_pkl,382,650bfb4a0af4a222f41efdc6d2b35558a83853924e2811fb1fda2d9bd799ca23,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A345MJY6,packaged_uid2seq_pkl,256,82b24918f5603079aa9c85c33b7bc088a61388fc044f462b11f9053746a14e0e,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A364MYA3,packaged_uid2seq_pkl,332,74cdbe27df1fd4e25d11f947bff1a53a8d43ef56f1d76cd6ba74d8ad21a0dfd7,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
A0A384JQC9,packaged_uid2seq_pkl,440,1ae61a2c0005813f48f860a18df968c11e72dba4764ad4640f5b43c7233180ea,true,true,false,,,strict_uids(all_enzymes.csv) - valid_pocket_uids(pocket_info.csv with non-empty pocket_residues)
