UniprotID,p2rank_status,p2rank_version,p2rank_command,p2rank_top_pocket_rank,p2rank_top_pocket_score,p2rank_pocket_residue_count,p2rank_raw_prediction_csv,p2rank_raw_residue_csv,p2rank_log_path
A0A075D654,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D654/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D654/p2rank/A0A075D654.ds,1,72.24,50,,,
A0A075D6M1,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D6M1/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D6M1/p2rank/A0A075D6M1.ds,1,47.05,34,,,
A0A077EYL8,,,,,,,,,
A0A089LCJ8,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089LCJ8/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089LCJ8/p2rank/A0A089LCJ8.ds,1,25.84,24,,,
A0A089MMR2,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089MMR2/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089MMR2/p2rank/A0A089MMR2.ds,1,23.58,22,,,
A0A0E0S0W9,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E0S0W9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E0S0W9/p2rank/A0A0E0S0W9.ds,1,14.7,22,,,
A0A0E1RWL5,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E1RWL5/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E1RWL5/p2rank/A0A0E1RWL5.ds,1,65.92,67,,,
A0A0F4YI33,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F4YI33/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F4YI33/p2rank/A0A0F4YI33.ds,1,10.96,14,,,
A0A0F7TWW9,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F7TWW9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F7TWW9/p2rank/A0A0F7TWW9.ds,1,11.11,13,,,
A0A0F9X418,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F9X418/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F9X418/p2rank/A0A0F9X418.ds,1,40.27,22,,,
A0A0G2JDV3,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JDV3/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JDV3/p2rank/A0A0G2JDV3.ds,1,16.85,22,,,
A0A0G2JZ79,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JZ79/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JZ79/p2rank/A0A0G2JZ79.ds,1,32.0,29,,,
A0A0H2V660,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V660/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V660/p2rank/A0A0H2V660.ds,1,24.68,32,,,
A0A0H2V760,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V760/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V760/p2rank/A0A0H2V760.ds,1,48.35,33,,,
A0A0H3DK98,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3DK98/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3DK98/p2rank/A0A0H3DK98.ds,1,32.39,32,,,
A0A0H3DN66,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3DN66/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3DN66/p2rank/A0A0H3DN66.ds,1,18.06,23,,,
A0A0H3GEM5,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3GEM5/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3GEM5/p2rank/A0A0H3GEM5.ds,1,1.0,7,,,
A0A0H3LSV1,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3LSV1/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3LSV1/p2rank/A0A0H3LSV1.ds,1,1.2,10,,,
A0A0H3LVU7,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3LVU7/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H3LVU7/p2rank/A0A0H3LVU7.ds,1,16.39,17,,,
A0A0J9UVX2,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0J9UVX2/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0J9UVX2/p2rank/A0A0J9UVX2.ds,1,15.02,24,,,
A0A0J9X285,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0J9X285/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0J9X285/p2rank/A0A0J9X285.ds,1,57.58,39,,,
A0A0M2H929,BLOCKED_AFDB_P2RANK_NO_POCKET,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M2H929/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M2H929/p2rank/A0A0M2H929.ds,,,,,,
A0A0M8N4S6,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M8N4S6/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M8N4S6/p2rank/A0A0M8N4S6.ds,1,34.98,23,,,
A0A0M8N8I0,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M8N8I0/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M8N8I0/p2rank/A0A0M8N8I0.ds,1,5.65,13,,,
A0A0M8N9Q3,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M8N9Q3/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M8N9Q3/p2rank/A0A0M8N9Q3.ds,1,3.68,11,,,
A0A0M9VUI4,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M9VUI4/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M9VUI4/p2rank/A0A0M9VUI4.ds,1,6.86,14,,,
A0A0M9VUJ4,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M9VUJ4/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0M9VUJ4/p2rank/A0A0M9VUJ4.ds,1,7.91,13,,,
A0A0P0FGV9,BLOCKED_AFDB_P2RANK_NO_POCKET,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0P0FGV9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0P0FGV9/p2rank/A0A0P0FGV9.ds,,,,,,
A0A0Q9K4R6,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0Q9K4R6/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0Q9K4R6/p2rank/A0A0Q9K4R6.ds,1,18.39,27,,,
A0A0Q9K529,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0Q9K529/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0Q9K529/p2rank/A0A0Q9K529.ds,1,28.27,28,,,
A0A0Q9KFZ4,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0Q9KFZ4/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0Q9KFZ4/p2rank/A0A0Q9KFZ4.ds,1,65.8,49,,,
A0A0S0MVI5,,,,,,,,,
A0A0S0MX59,,,,,,,,,
A0A0S0N8M3,,,,,,,,,
A0A0S0N9S9,,,,,,,,,
A0A0U3AB61,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U3AB61/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U3AB61/p2rank/A0A0U3AB61.ds,1,19.06,30,,,
A0A0U3S9Q3,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U3S9Q3/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U3S9Q3/p2rank/A0A0U3S9Q3.ds,1,50.57,51,,,
A0A0U4AHM6,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U4AHM6/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U4AHM6/p2rank/A0A0U4AHM6.ds,1,59.96,41,,,
A0A0U4BHM2,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U4BHM2/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U4BHM2/p2rank/A0A0U4BHM2.ds,1,46.62,50,,,
A0A0U5G0B1,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U5G0B1/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0U5G0B1/p2rank/A0A0U5G0B1.ds,1,60.2,35,,,
A0A0X1KHF9,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0X1KHF9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0X1KHF9/p2rank/A0A0X1KHF9.ds,1,13.03,20,,,
A0A125SXN3,,,,,,,,,
A0A125YY17,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A125YY17/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A125YY17/p2rank/A0A125YY17.ds,1,11.9,21,,,
A0A125YYB5,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A125YYB5/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A125YYB5/p2rank/A0A125YYB5.ds,1,15.09,25,,,
A0A140LIF8,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A140LIF8/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A140LIF8/p2rank/A0A140LIF8.ds,1,14.1,17,,,
A0A166ACJ5,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A166ACJ5/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A166ACJ5/p2rank/A0A166ACJ5.ds,1,17.06,26,,,
