UniprotID,original_uid,uniprot_query_status,primary_accession,secondary_accessions,canonical_or_isoform,organism,sequence_length,afdb_primary_probe_status,afdb_secondary_probe_status,reviewed_accession_candidate,reviewed_accession_action,review_notes
B5E5S4,B5E5S4,,,,,,342,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E5U9,B5E5U9,,,,,,203,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E5W0,B5E5W0,,,,,,193,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E5X4,B5E5X4,,,,,,328,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E605,B5E605,,,,,,373,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E670,B5E670,,,,,,468,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E6K3,B5E6K3,,,,,,450,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E6K6,B5E6K6,,,,,,322,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E6L9,B5E6L9,,,,,,314,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E6M0,B5E6M0,,,,,,170,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5E7F2,B5E7F2,,,,,,424,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5EBG1,B5EBG1,,,,,,343,404,,,,AFDB v6 structure could not be fetched for the original UID.
B5WWZ9,B5WWZ9,,,,,,750,404,,,,AFDB v6 structure could not be fetched for the original UID.
B7JIE1,B7JIE1,,,,,,317,404,,,,AFDB v6 structure could not be fetched for the original UID.
B7JIX2,B7JIX2,,,,,,327,404,,,,AFDB v6 structure could not be fetched for the original UID.
B8B8K5,B8B8K5,,,,,,366,404,,,,AFDB v6 structure could not be fetched for the original UID.
B8DNL1,B8DNL1,,,,,,350,404,,,,AFDB v6 structure could not be fetched for the original UID.
B9A1H3,B9A1H3,,,,,,495,404,,,,AFDB v6 structure could not be fetched for the original UID.
B9UYK5,B9UYK5,,,,,,776,404,,,,AFDB v6 structure could not be fetched for the original UID.
B9UYK7,B9UYK7,,,,,,667,404,,,,AFDB v6 structure could not be fetched for the original UID.
C0HJL9,C0HJL9,,,,,,15,404,,,,AFDB v6 structure could not be fetched for the original UID.
C1IWT2,C1IWT2,,,,,,668,404,,,,AFDB v6 structure could not be fetched for the original UID.
C3RZA1,C3RZA1,,,,,,433,404,,,,AFDB v6 structure could not be fetched for the original UID.
C5IY43,C5IY43,,,,,,776,404,,,,AFDB v6 structure could not be fetched for the original UID.
C5IY46,C5IY46,,,,,,670,404,,,,AFDB v6 structure could not be fetched for the original UID.
C5IY48,C5IY48,,,,,,780,404,,,,AFDB v6 structure could not be fetched for the original UID.
C6E5Z5,C6E5Z5,,,,,,343,404,,,,AFDB v6 structure could not be fetched for the original UID.
C8XPS0,C8XPS0,,,,,,595,404,,,,AFDB v6 structure could not be fetched for the original UID.
C9DG80,C9DG80,,,,,,310,404,,,,AFDB v6 structure could not be fetched for the original UID.
C9DGK1,C9DGK1,,,,,,357,404,,,,AFDB v6 structure could not be fetched for the original UID.
D0EZM8,D0EZM8,,,,,,781,404,,,,AFDB v6 structure could not be fetched for the original UID.
D1L2Y9,D1L2Y9,,,,,,186,404,,,,AFDB v6 structure could not be fetched for the original UID.
D3XDS2,D3XDS2,,,,,,643,404,,,,AFDB v6 structure could not be fetched for the original UID.
D4N3P2,D4N3P2,,,,,,280,404,,,,AFDB v6 structure could not be fetched for the original UID.
D9ICP2,D9ICP2,,,,,,173,404,,,,AFDB v6 structure could not be fetched for the original UID.
E1XT70,E1XT70,,,,,,220,404,,,,AFDB v6 structure could not be fetched for the original UID.
E1XTJ1,E1XTJ1,,,,,,424,404,,,,AFDB v6 structure could not be fetched for the original UID.
E1XTK3,E1XTK3,,,,,,304,404,,,,AFDB v6 structure could not be fetched for the original UID.
E1XTK6,E1XTK6,,,,,,411,404,,,,AFDB v6 structure could not be fetched for the original UID.
E3SEW0,E3SEW0,,,,,,151,404,,,,AFDB v6 structure could not be fetched for the original UID.
E5EYS5,E5EYS5,,,,,,150,404,,,,AFDB v6 structure could not be fetched for the original UID.
F2Z9C1,F2Z9C1,,,,,,524,404,,,,AFDB v6 structure could not be fetched for the original UID.
F5HAW0,F5HAW0,,,,,,305,404,,,,AFDB v6 structure could not be fetched for the original UID.
F5HB62,F5HB62,,,,,,580,404,,,,AFDB v6 structure could not be fetched for the original UID.
F5HGH5,F5HGH5,,,,,,444,404,,,,AFDB v6 structure could not be fetched for the original UID.
F8SJR0,F8SJR0,,,,,,315,404,,,,AFDB v6 structure could not be fetched for the original UID.
G3FFN4,G3FFN4,,,,,,170,404,,,,AFDB v6 structure could not be fetched for the original UID.
G3FFN6,G3FFN6,,,,,,343,404,,,,AFDB v6 structure could not be fetched for the original UID.
G9JJU2,G9JJU2,,,,,,172,404,,,,AFDB v6 structure could not be fetched for the original UID.
I7K316,I7K316,,,,,,153,404,,,,AFDB v6 structure could not be fetched for the original UID.
L7WGA7,L7WGA7,,,,,,288,404,,,,AFDB v6 structure could not be fetched for the original UID.
M1EAP5,M1EAP5,,,,,,152,404,,,,AFDB v6 structure could not be fetched for the original UID.
M5AAG8,M5AAG8,,,,,,718,404,,,,AFDB v6 structure could not be fetched for the original UID.
O02827,O02827,,,,,,438,404,,,,AFDB v6 structure could not be fetched for the original UID.
O03063,O03063,,,,,,284,404,,,,AFDB v6 structure could not be fetched for the original UID.
O03067,O03067,,,,,,476,404,,,,AFDB v6 structure could not be fetched for the original UID.
O03070,O03070,,,,,,208,404,,,,AFDB v6 structure could not be fetched for the original UID.
O03073,O03073,,,,,,208,404,,,,AFDB v6 structure could not be fetched for the original UID.
O03077,O03077,,,,,,220,404,,,,AFDB v6 structure could not be fetched for the original UID.
O03085,O03085,,,,,,479,404,,,,AFDB v6 structure could not be fetched for the original UID.
O07824,O07824,,,,,,449,404,,,,AFDB v6 structure could not be fetched for the original UID.
O10269,O10269,,,,,,274,404,,,,AFDB v6 structure could not be fetched for the original UID.
O10273,O10273,,,,,,160,404,,,,AFDB v6 structure could not be fetched for the original UID.
O10274,O10274,,,,,,220,404,,,,AFDB v6 structure could not be fetched for the original UID.
O10340,O10340,,,,,,457,404,,,,AFDB v6 structure could not be fetched for the original UID.
O13010,O13010,,,,,,406,404,,,,AFDB v6 structure could not be fetched for the original UID.
O13434,O13434,,,,,,553,404,,,,AFDB v6 structure could not be fetched for the original UID.
O22000,O22000,,,,,,128,404,,,,AFDB v6 structure could not be fetched for the original UID.
O23939,O23939,,,,,,322,404,,,,AFDB v6 structure could not be fetched for the original UID.
O30642,O30642,,,,,,458,404,,,,AFDB v6 structure could not be fetched for the original UID.
O32378,O32378,,,,,,318,404,,,,AFDB v6 structure could not be fetched for the original UID.
O32414,O32414,,,,,,339,404,,,,AFDB v6 structure could not be fetched for the original UID.
O32518,O32518,,,,,,158,404,,,,AFDB v6 structure could not be fetched for the original UID.
O36371,O36371,,,,,,561,404,,,,AFDB v6 structure could not be fetched for the original UID.
O36385,O36385,,,,,,454,404,,,,AFDB v6 structure could not be fetched for the original UID.
O36404,O36404,,,,,,298,404,,,,AFDB v6 structure could not be fetched for the original UID.
O36410,O36410,,,,,,305,404,,,,AFDB v6 structure could not be fetched for the original UID.
O36411,O36411,,,,,,780,404,,,,AFDB v6 structure could not be fetched for the original UID.
O37319,O37319,,,,,,646,404,,,,AFDB v6 structure could not be fetched for the original UID.
O39828,O39828,,,,,,286,404,,,,AFDB v6 structure could not be fetched for the original UID.
O40619,O40619,,,,,,606,404,,,,AFDB v6 structure could not be fetched for the original UID.
O41033,O41033,,,,,,141,404,,,,AFDB v6 structure could not be fetched for the original UID.
O41136,O41136,,,,,,197,404,,,,AFDB v6 structure could not be fetched for the original UID.
O41156,O41156,,,,,,216,404,,,,AFDB v6 structure could not be fetched for the original UID.
O42411,O42411,,,,,,245,404,,,,AFDB v6 structure could not be fetched for the original UID.
O42412,O42412,,,,,,258,404,,,,AFDB v6 structure could not be fetched for the original UID.
O42449,O42449,,,,,,248,404,,,,AFDB v6 structure could not be fetched for the original UID.
O44111,O44111,,,,,,339,000,,,,AFDB v6 structure could not be fetched for the original UID.
O48500,O48500,,,,,,148,404,,,,AFDB v6 structure could not be fetched for the original UID.
O51215,O51215,,,,,,286,404,,,,AFDB v6 structure could not be fetched for the original UID.
O51291,O51291,,,,,,279,404,,,,AFDB v6 structure could not be fetched for the original UID.
O55716,O55716,,,,,,959,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57175,O57175,,,,,,319,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57177,O57177,,,,,,439,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57179,O57179,,,,,,372,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57193,O57193,,,,,,676,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57203,O57203,,,,,,177,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57209,O57209,,,,,,844,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57214,O57214,,,,,,631,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57245,O57245,,,,,,346,404,,,,AFDB v6 structure could not be fetched for the original UID.
O57252,O57252,,,,,,300,404,,,,AFDB v6 structure could not be fetched for the original UID.
O61069,O61069,,,,,,209,404,,,,AFDB v6 structure could not be fetched for the original UID.
O62768,O62768,,,,,,499,404,,,,AFDB v6 structure could not be fetched for the original UID.
O64174,O64174,,,,,,329,000,,,,AFDB v6 structure could not be fetched for the original UID.
O64238,O64238,,,,,,235,404,,,,AFDB v6 structure could not be fetched for the original UID.
O64240,O64240,,,,,,693,404,,,,AFDB v6 structure could not be fetched for the original UID.
O64900,O64900,,,,,,488,404,,,,AFDB v6 structure could not be fetched for the original UID.
O65316,O65316,,,,,,377,404,,,,AFDB v6 structure could not be fetched for the original UID.
O67139,O67139,,,,,,336,404,,,,AFDB v6 structure could not be fetched for the original UID.
O67441,O67441,,,,,,350,404,,,,AFDB v6 structure could not be fetched for the original UID.
O69407,O69407,,,,,,437,404,,,,AFDB v6 structure could not be fetched for the original UID.
O69783,O69783,,,,,,242,404,,,,AFDB v6 structure could not be fetched for the original UID.
O70325,O70325,,,,,,197,404,,,,AFDB v6 structure could not be fetched for the original UID.
O71028,O71028,,,,,,158,404,,,,AFDB v6 structure could not be fetched for the original UID.
O71153,O71153,,,,,,545,404,,,,AFDB v6 structure could not be fetched for the original UID.
O72904,O72904,,,,,,682,404,,,,AFDB v6 structure could not be fetched for the original UID.
O72907,O72907,,,,,,637,404,,,,AFDB v6 structure could not be fetched for the original UID.
O72908,O72908,,,,,,289,404,,,,AFDB v6 structure could not be fetched for the original UID.
O83386,O83386,,,,,,291,404,,,,AFDB v6 structure could not be fetched for the original UID.
O83432,O83432,,,,,,559,404,,,,AFDB v6 structure could not be fetched for the original UID.
O83571,O83571,,,,,,661,404,,,,AFDB v6 structure could not be fetched for the original UID.
O83759,O83759,,,,,,679,404,,,,AFDB v6 structure could not be fetched for the original UID.
O83774,O83774,,,,,,362,404,,,,AFDB v6 structure could not be fetched for the original UID.
O86186,O86186,,,,,,436,404,,,,AFDB v6 structure could not be fetched for the original UID.
O87790,O87790,,,,,,120,404,,,,AFDB v6 structure could not be fetched for the original UID.
O89049,O89049,,,,,,499,404,,,,AFDB v6 structure could not be fetched for the original UID.
O91254,O91254,,,,,,282,404,,,,AFDB v6 structure could not be fetched for the original UID.
O91262,O91262,,,,,,439,404,,,,AFDB v6 structure could not be fetched for the original UID.
O91729,O91729,,,,,,647,404,,,,AFDB v6 structure could not be fetched for the original UID.
O92367,O92367,,,,,,431,404,,,,AFDB v6 structure could not be fetched for the original UID.
O92490,O92490,,,,,,240,404,,,,AFDB v6 structure could not be fetched for the original UID.
O93658,O93658,,,,,,495,404,,,,AFDB v6 structure could not be fetched for the original UID.
O93661,O93661,,,,,,467,404,,,,AFDB v6 structure could not be fetched for the original UID.
O98360,O98360,,,,,,440,404,,,,AFDB v6 structure could not be fetched for the original UID.
O98668,O98668,,,,,,468,404,,,,AFDB v6 structure could not be fetched for the original UID.
O98766,O98766,,,,,,498,404,,,,AFDB v6 structure could not be fetched for the original UID.
O98883,O98883,,,,,,468,404,,,,AFDB v6 structure could not be fetched for the original UID.
O99001,O99001,,,,,,466,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00346,P00346,,,,,,338,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00368,P00368,,,,,,503,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00435,P00435,,,,,,205,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00471,P00471,,,,,,286,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00476,P00476,,,,,,439,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00513,P00513,,,,,,359,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00521,P00521,,,,,,746,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00524,P00524,,,,,,526,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00525,P00525,,,,,,526,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00526,P00526,,,,,,526,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00527,P00527,,,,,,528,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00529,P00529,,,,,,402,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00530,P00530,,,,,,873,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00531,P00531,,,,,,380,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00532,P00532,,,,,,323,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00534,P00534,,,,,,634,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00535,P00535,,,,,,604,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00537,P00537,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00538,P00538,,,,,,374,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00541,P00541,,,,,,533,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00542,P00542,,,,,,609,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00543,P00543,,,,,,477,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00545,P00545,,,,,,978,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00587,P00587,,,,,,560,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00588,P00588,,,,,,567,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00814,P00814,,,,,,188,404,,,,AFDB v6 structure could not be fetched for the original UID.
P00917,P00917,,,,,,261,404,,,,AFDB v6 structure could not be fetched for the original UID.
P01113,P01113,,,,,,189,404,,,,AFDB v6 structure could not be fetched for the original UID.
P01114,P01114,,,,,,248,404,,,,AFDB v6 structure could not be fetched for the original UID.
P01115,P01115,,,,,,241,404,,,,AFDB v6 structure could not be fetched for the original UID.
P01117,P01117,,,,,,189,404,,,,AFDB v6 structure could not be fetched for the original UID.
P02580,P02580,,,,,,376,404,,,,AFDB v6 structure could not be fetched for the original UID.
P02581,P02581,,,,,,377,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03006,P03006,,,,,,458,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03070,P03070,,,,,,708,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03071,P03071,,,,,,695,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03072,P03072,,,,,,688,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03073,P03073,,,,,,785,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03075,P03075,,,,,,751,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03111,P03111,,,,,,612,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03112,P03112,,,,,,602,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03113,P03113,,,,,,649,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03114,P03114,,,,,,649,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03116,P03116,,,,,,605,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03117,P03117,,,,,,613,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03132,P03132,,,,,,536,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03133,P03133,,,,,,672,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03134,P03134,,,,,,672,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03177,P03177,,,,,,607,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03190,P03190,,,,,,826,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03195,P03195,,,,,,278,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03318,P03318,,,,,,995,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03465,P03465,,,,,,654,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03692,P03692,,,,,,566,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03707,P03707,,,,,,181,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03763,P03763,,,,,,312,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03772,P03772,,,,,,221,404,,,,AFDB v6 structure could not be fetched for the original UID.
P03781,P03781,,,,,,196,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04008,P04008,,,,,,697,404,,,,AFDB v6 structure could not be fetched for the original UID.
P04014,P04014,,,,,,649,404,,,,AFDB v6 structure could not be fetched for the original UID.
