UniprotID,sequence_fetch_sec,structure_fetch_sec,p2rank_sec,esm2_3b_sec,gvp_sec,loader_validation_sec,per_uid_total_wall_sec,final_status
A0A1V0QSF8,0,0,0,0,0,0,9.166055679321289,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1V0QSG0,0,0,0,0,0,0,8.489277362823486,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1V0QSG6,0,0,0,0,0,0,8.664604902267456,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A1V0QSH7,0,0,0,0,0,0,8.657143354415894,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A217ER65,0,0,0,0,0,0,1.5538504123687744,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A218NGS0,0,0,0,0,0,0,8.182614088058472,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A224AU14,0,0,0,0,0,0,7.973893880844116,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2G0QDN4,0,0,0,0,0,0,7.6767966747283936,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2G0QDP0,0,0,0,0,0,0,8.086665153503418,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2H1K3G9,0,0,0,0,0,0,7.751856088638306,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2H5BHG9,0,0,0,0,0,0,1.6379928588867188,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A2H5BHJ6,0,0,0,0,0,0,1.9274039268493652,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A2I1CSG1,0,0,0,0,0,0,9.425272464752197,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2I1CSG7,0,0,0,0,0,0,7.806578159332275,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2I1CSH5,0,0,0,0,0,0,7.7431957721710205,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2I1CSH6,0,0,0,0,0,0,8.252093076705933,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2I1CSH9,0,0,0,0,0,0,9.399243354797363,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2K3D179,0,0,0,0,0,0,8.676947355270386,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2L0V130,0,0,0,0,0,0,3.290196657180786,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A2L0V161,0,0,0,0,0,0,1.6753284931182861,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A2P5I554,0,0,0,0,0,0,7.845914602279663,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2T1AE85,0,0,0,0,0,0,7.698444604873657,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5P0W7,0,0,0,0,0,0,7.626988410949707,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5P2H9,0,0,0,0,0,0,8.47655463218689,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5U367,0,0,0,0,0,0,7.935791969299316,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5U368,0,0,0,0,0,0,8.901356935501099,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5U3C2,0,0,0,0,0,0,10.411266326904297,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5U507,0,0,0,0,0,0,7.592481851577759,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5U6I9,0,0,0,0,0,0,9.018855333328247,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A2Z5UFJ1,0,0,0,0,0,0,8.43419098854065,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A345MJY6,0,0,0,0,0,0,1.7528350353240967,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A364MYA3,0,0,0,0,0,0,7.997101306915283,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A384JQC9,0,0,0,0,0,0,8.436344146728516,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A3B6EFE3,0,0,0,0,0,0,8.492314338684082,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A3B6UEU3,0,0,0,0,0,0,8.728969097137451,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A3Q0KQY7,0,0,0,0,0,0,8.636928796768188,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A3Q7GYG2,0,0,0,0,0,0,8.322983026504517,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A3R5XUE6,0,0,0,0,0,0,7.8351380825042725,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A423V942,0,0,0,0,0,0,9.96277928352356,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A423VZH2,0,0,0,0,0,0,8.446868181228638,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A423WA64,0,0,0,0,0,0,9.178835153579712,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A429XC68,0,0,0,0,0,0,8.87248706817627,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A429XCI2,0,0,0,0,0,0,8.417734622955322,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A429XDI3,0,0,0,0,0,0,8.395701169967651,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A437A6S9,0,0,0,0,0,0,8.199870109558105,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A498JQK2,0,0,0,0,0,0,7.6261467933654785,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A499W357,0,0,0,0,0,0,8.354176998138428,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A4P1QUJ3,0,0,0,0,0,0,8.929553747177124,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A4S4DBB3,0,0,0,0,0,0,7.6673009395599365,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A4S4ESS1,0,0,0,0,0,0,8.707097291946411,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A4X1T4U3,0,0,0,0,0,0,8.754374504089355,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A516KNH9,0,0,0,0,0,0,1.9853954315185547,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A559KX76,0,0,0,0,0,0,8.632530927658081,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A565D474,0,0,0,0,0,0,12.46349573135376,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A565D475,0,0,0,0,0,0,8.317778587341309,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A565D477,0,0,0,0,0,0,11.095735549926758,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8ND22,0,0,0,0,0,0,8.532089710235596,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8X6A1,0,0,0,0,0,0,8.296621561050415,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8X6B5,0,0,0,0,0,0,7.748305559158325,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8X6S2,0,0,0,0,0,0,7.584447860717773,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8X7E6,0,0,0,0,0,0,9.564756870269775,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8X7H4,0,0,0,0,0,0,8.719573020935059,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8X840,0,0,0,0,0,0,7.310333013534546,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8XAH0,0,0,0,0,0,0,8.117852687835693,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8XB28,0,0,0,0,0,0,8.395894765853882,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8XC60,0,0,0,0,0,0,7.542785167694092,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5B8Z1N3,0,0,0,0,0,0,8.247380018234253,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5C0SBK3,0,0,0,0,0,0,8.431821823120117,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5J5NT52,0,0,0,0,0,0,8.524553298950195,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5J5T2N2,0,0,0,0,0,0,8.135918617248535,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5N6TQK6,0,0,0,0,0,0,8.803745031356812,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5N6TQL1,0,0,0,0,0,0,8.408963918685913,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5N6TQN5,0,0,0,0,0,0,10.278549194335938,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A5N6TR74,0,0,0,0,0,0,8.48021674156189,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A649V088,0,0,0,0,0,0,7.732337951660156,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A6A6H2E0,0,0,0,0,0,0,8.013108253479004,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A6A6H402,0,0,0,0,0,0,7.625310897827148,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A6M7H989,0,0,0,0,0,0,7.294620752334595,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A6N3IN21,0,0,0,0,0,0,7.944703578948975,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7H0DN19,0,0,0,0,0,0,1.6195499897003174,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN21,0,0,0,0,0,0,3.6375741958618164,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN27,0,0,0,0,0,0,1.587317705154419,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN30,0,0,0,0,0,0,1.6295452117919922,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN45,0,0,0,0,0,0,1.684215784072876,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN52,0,0,0,0,0,0,3.2129313945770264,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN56,0,0,0,0,0,0,2.6008412837982178,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN73,0,0,0,0,0,0,1.5678634643554688,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN74,0,0,0,0,0,0,1.5763216018676758,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN78,0,0,0,0,0,0,1.7363300323486328,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN85,0,0,0,0,0,0,1.974355936050415,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN93,0,0,0,0,0,0,1.6126749515533447,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DN95,0,0,0,0,0,0,1.717456579208374,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DNE2,0,0,0,0,0,0,1.5695922374725342,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DNE5,0,0,0,0,0,0,1.5813868045806885,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DNE9,0,0,0,0,0,0,2.7873778343200684,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7H0DNF0,0,0,0,0,0,0,1.6629955768585205,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7J6HK32,0,0,0,0,0,0,8.530510187149048,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7L5EB83,0,0,0,0,0,0,10.080577611923218,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7S7NT01,0,0,0,0,0,0,7.650498390197754,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1I4,0,0,0,0,0,0,8.207872152328491,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1J6,0,0,0,0,0,0,8.244400978088379,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1J7,0,0,0,0,0,0,8.378181457519531,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1L1,0,0,0,0,0,0,6.966728448867798,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1L3,0,0,0,0,0,0,7.432587385177612,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1M6,0,0,0,0,0,0,7.690737724304199,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1M9,0,0,0,0,0,0,7.655838966369629,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8F1N2,0,0,0,0,0,0,7.3461525440216064,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8J1U7,0,0,0,0,0,0,8.552756786346436,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7T8J1Z8,0,0,0,0,0,0,8.19184923171997,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7U2MMF3,0,0,0,0,0,0,7.897345304489136,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7U2QYM2,0,0,0,0,0,0,7.918894529342651,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A7U3TBV3,0,0,0,0,0,0,1.6810905933380127,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7U3TBV6,0,0,0,0,0,0,2.247262477874756,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A7U3TCA2,0,0,0,0,0,0,1.9028103351593018,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A803PDZ0,0,0,0,0,0,0,8.915420770645142,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A868BQY3,0,0,0,0,0,0,2.74098801612854,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A8B6XWW9,0,0,0,0,0,0,7.981817245483398,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8B8BQ58,0,0,0,0,0,0,9.071568012237549,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8C2MDK8,0,0,0,0,0,0,8.160829305648804,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8D5M3Y5,0,0,0,0,0,0,8.033032178878784,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8F4N283,0,0,0,0,0,0,7.526212453842163,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8F4PN06,0,0,0,0,0,0,7.906712055206299,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8F4SN83,0,0,0,0,0,0,8.844949960708618,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8F5SIS3,0,0,0,0,0,0,7.302231550216675,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8F5XX49,0,0,0,0,0,0,7.750454425811768,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8G1LR08,0,0,0,0,0,0,2.0095465183258057,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED
A0A8H4CUY8,0,0,0,0,0,0,9.133659362792969,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8H7XMX0,0,0,0,0,0,0,7.751535892486572,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8H7XP09,0,0,0,0,0,0,7.700555324554443,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8H7XQ49,0,0,0,0,0,0,8.35221815109253,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8H8CFI5,0,0,0,0,0,0,7.817250967025757,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8H8CMW1,0,0,0,0,0,0,7.766740083694458,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8I3S724,0,0,0,0,0,0,8.244887351989746,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8I5ZNK2,0,0,0,0,0,0,8.906438112258911,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8I6AGW3,0,0,0,0,0,0,8.797754287719727,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8I6G2K8,0,0,0,0,0,0,9.265352964401245,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8I6GJ95,0,0,0,0,0,0,8.1794114112854,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8K1AY78,0,0,0,0,0,0,9.043015480041504,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
A0A8M1PLI9,0,0,0,0,0,0,8.321748971939087,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER
