UniprotID,f3_missing_valid_pocket_member,final_missing_pocket_member,phase1_100uid_member,phase1_result_if_any,sampling_stratum_if_available,sequence_source,sequence_length,sequence_sha256,pre_attempt_esm2_3b_cache_status,pre_attempt_pocket_node_cache_status,pre_attempt_gvp_cache_status,afdb_structure_status,afdb_http_status,afdb_model_version,afdb_structure_sha256,accession_review_status,reviewed_accession_candidate,reviewed_accession_action,p2rank_status,p2rank_version,p2rank_command,p2rank_top_pocket_rank,p2rank_top_pocket_score,p2rank_pocket_residue_count,pocket_source,evidence_tier,esm2_3b_status,esm_node_feature_shape,gvp_status,same_pocket_for_esm_node_and_gvp,loader_validation_called,loader_validation_status,dataset_len,dataset0_constructed,staged_asset_manifest_rows,formal_assets_mutated,production_pool_mutated,production_d4_mutated,final_status,final_status_reason,retryable,wall_sec,notes
A0A075D654,True,True,False,,,local_payload_uid2seq,291,5f6fbe2b81552f7e7a28ff221c30e08ac1e1a42a47658afec5692cdd83f04885,cache_miss,cache_miss,cache_miss,PASS,200,v6,dc08c1d4a18347877a058142374fd04ec4f3944bb7dfd665bf5c28381a2e59bd,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D654/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D654/p2rank/A0A075D654.ds,1,72.24,50,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[50, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,7.222667694091797,
A0A075D6M1,True,True,False,,,local_payload_uid2seq,292,1d64f8836757be86aab995d1a14b3feb88531eb4212b35fbfd7dbdc62567e997,cache_miss,cache_miss,cache_miss,PASS,200,v6,05bf44115f18753def4f71af6d48a659ce19251e608304d3a790cfe51c116d2a,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D6M1/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A075D6M1/p2rank/A0A075D6M1.ds,1,47.05,34,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[34, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,7.284815788269043,
A0A077EYL8,True,True,False,,,local_payload_uid2seq,239,51ab8599b003d5a213ad32219cbcc4c37d1a3b6173b13fe33730c09efec6c880,cache_miss,cache_miss,cache_miss,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,000,,,AFDB_V6_FETCH_FAILED,,,,,,,,,,lower_evidence_predicted_pocket,,,,,False,,0,False,0,False,False,False,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,AFDB v6 structure could not be fetched for the original UID.,True,20.84812355041504,
A0A089LCJ8,True,True,False,,,local_payload_uid2seq,596,92ddb41573a2c8ca97687a2ec29d37e183cbd01214b1e420a77dcd55150f4b9c,cache_miss,cache_miss,cache_miss,PASS,200,v6,ab9b1576c7536ab2b9af11804b6e376ddaa04417dc2125a637257c910915b1a6,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089LCJ8/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089LCJ8/p2rank/A0A089LCJ8.ds,1,25.84,24,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[24, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,29.064756631851196,
A0A089MMR2,True,True,False,,,local_payload_uid2seq,769,40a4249be74e7afcec5840e732edfa8379c2c5142a4cd41cbb1026a8b9c257e7,cache_miss,cache_miss,cache_miss,PASS,200,v6,ecfd6cc95919de7e12a0e64ef581e0f405ae69304dafe60691e2aba56fdce1fa,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089MMR2/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A089MMR2/p2rank/A0A089MMR2.ds,1,23.58,22,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[22, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,29.846629858016968,
A0A0E0S0W9,True,True,False,,,local_payload_uid2seq,371,3c1b8627d60e2c670d7c8b73d206118c1384497a5e740199fe1b42de37448af6,cache_miss,cache_miss,cache_miss,PASS,200,v6,a0b143d375b19f3f3ab07a5e4515468e457b86979c87fa00f27ce714a22884e0,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E0S0W9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E0S0W9/p2rank/A0A0E0S0W9.ds,1,14.7,22,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[22, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,7.440009832382202,
A0A0E1RWL5,True,True,False,,,local_payload_uid2seq,549,91f6d9aff9c926f3a776c3296616bb60f8781278508f5946eed9f0bf438ddb4d,cache_miss,cache_miss,cache_miss,PASS,200,v6,894fe07261a34a22fc6d094cba2eb67f8b66f15a813d36e5252218307aa1e1b4,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E1RWL5/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0E1RWL5/p2rank/A0A0E1RWL5.ds,1,65.92,67,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[67, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,7.993147850036621,
A0A0F4YI33,True,True,False,,,local_payload_uid2seq,314,e7ae513fa139734aadc523f888837ef022d57c03e6692cdbbb06d05b53b5e0c5,cache_miss,cache_miss,cache_miss,PASS,200,v6,70e726ddcab3a64bc7df9a512e42e4570d3ea5526db0207368d71098da66c67b,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F4YI33/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F4YI33/p2rank/A0A0F4YI33.ds,1,10.96,14,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[14, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,7.698541641235352,
A0A0F7TWW9,True,True,False,,,local_payload_uid2seq,596,c113b75f8644468658289da5480b81ecf252c20df4f27a6efbd96538aea1668e,cache_miss,cache_miss,cache_miss,PASS,200,v6,9e6b9b9ff9d52806915d88b0ad60fdbaa21bf6c709e09dd720dfc5db2bca24e8,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F7TWW9/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F7TWW9/p2rank/A0A0F7TWW9.ds,1,11.11,13,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[13, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,8.214939832687378,
A0A0F9X418,True,True,False,,,local_payload_uid2seq,151,4a4ebc4a138524e5bda6b2eb2bcce6e420fdf7004779f82ee129546f9716b9e1,cache_miss,cache_miss,cache_miss,PASS,200,v6,c6311b693bed66c582f6935bb07696c296eba46265c08f66f0954aedfa9a0e52,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F9X418/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0F9X418/p2rank/A0A0F9X418.ds,1,40.27,22,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[22, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,6.810382127761841,
A0A0G2JDV3,True,True,True,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,OLD_POOL_WITH_POCKET_INTERSECT_FINAL_MISSING,local_payload_uid2seq,611,9267b1d9d85b88d0d2b16700e1d98d572c893b027970232d5ba710d6f7461687,cache_miss,cache_miss,cache_miss,PASS,200,v6,a9a2c2b814f0c460ec43d28df9bd6c584fc1cb0f414118134ef8258d1318a10e,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JDV3/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JDV3/p2rank/A0A0G2JDV3.ds,1,16.85,22,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[22, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,8.844326496124268,
A0A0G2JZ79,True,True,False,,,local_payload_uid2seq,741,4a18d0684de504475c48ac0c897435816f0c03c48d7bd126d9aa6f146e60a009,cache_miss,cache_miss,cache_miss,PASS,200,v6,76564d000d4995615aa505f5b440cfaabfd525b5d99738ea3019fafa7952bdb9,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JZ79/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0G2JZ79/p2rank/A0A0G2JZ79.ds,1,32.0,29,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[29, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,8.794359683990479,
A0A0H2V660,True,True,False,,,local_payload_uid2seq,409,9fbaa037baf84106c06659d46ef637231c195e8d545570da8402310db5fa1290,cache_miss,cache_miss,cache_miss,PASS,200,v6,7c344a6c210f277bb63e1fa046ba3ea3f891263b046053499d2e64e1837e5d59,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V660/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V660/p2rank/A0A0H2V660.ds,1,24.68,32,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[32, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,9.34127140045166,
A0A0H2V760,True,True,False,,,local_payload_uid2seq,400,9ca41683f7f7ec327698797affbc08ce9993caf46422ce5a68db90b2c048e2fa,cache_miss,cache_miss,cache_miss,PASS,200,v6,cbbd797bed03be035813f3747220d9df1a2794e20d0f83e267b2d4c78439a118,,,,PASS_TOP_POCKET_MAPPED,P2Rank 2.5.1,/usrdata/EnzymeCAGE_data/tools/p2rank_2.5.1/prank predict -threads 4 -c alphafold -visualizations 0 -o /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V760/p2rank/raw /root/projects/EnzymeCAGE-master/HPC_Returned_Result_Summaries/enzymecage_m4_e2_full_4681_staged_status_table_20260814/per_uid/A0A0H2V760/p2rank/A0A0H2V760.ds,1,48.35,33,AFDB_P2RANK_TOP_PREDICTED_POCKET,lower_evidence_predicted_pocket,PASS,"[33, 2560]",PASS,True,True,PASS,1,True,6,False,False,False,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,"AFDB structure, P2Rank top pocket, ESM-2 3B, same-pocket GVP, and isolated loader validation all passed. Staged assets only.",False,7.9959471225738525,
